,precision,recall,f1-score,support
benign,0.8082191780821918,0.9365079365079365,0.8676470588235294,189.0
malignant,1.0,0.3,0.46153846153846156,100.0
no_tumor,0.7241379310344828,1.0,0.84,105.0
accuracy,0.7918781725888325,0.7918781725888325,0.7918781725888325,0.7918781725888325
macro avg,0.8441190363722249,0.7455026455026456,0.7230618401206637,394.0
weighted avg,0.8344870746602917,0.7918781725888325,0.7572059397753635,394.0
